employee_code,date,check_in,check_out,working_time,status
NV001,2026-09-01,07:58:12,17:02:45,9:04:33,VALID
NV001,2026-09-02,08:01:15,17:04:20,9:03:05,VALID
NV001,2026-09-03,07:56:40,17:05:30,8:07:55,VALID
NV002,2026-09-01,08:03:21,17:05:10,9:01:49,VALID
NV002,2026-09-02,07:59:44,17:10:12,9:10:28,VALID
NV002,2026-09-03,08:04:25,17:02:44,8:58:19,VALID
NV003,2026-09-01,07:55:34,17:01:22,9:05:48,VALID
NV003,2026-09-02,08:05:31,17:03:55,8:58:24,VALID
NV003,2026-09-03,07:58:19,17:08:31,9:10:12,VALID
NV004,2026-09-01,08:10:05,17:15:42,9:05:37,VALID
NV004,2026-09-02,08:12:10,17:20:05,9:07:55,VALID
NV004,2026-09-03,08:15:00,,0:00:00,ERROR
NV005,2026-09-01,07:50:18,16:58:33,9:08:15,VALID
NV005,2026-09-02,07:57:22,17:00:18,9:02:56,VALID
NV005,2026-09-03,07:52:12,17:01:45,9:09:33,VALID
NV005,2026-09-04,08:05:30,,0:00:00,ERROR
